ym:s:visitID,ym:s:date,ym:s:watchIDs,version
3568137784356765877,2024-06-25,"[3568137784356765877,3568206791127073133,3568206795910152508,3568209448372011099,3568209777597874361,3568300521477112003,3568370230727278694,3568141875237355636,3568304563803390302]",v2
3748601149417062577,2024-07-03,"[3748601149417062577,3748604825714032663,3748606951577092162,3748607262469914662,3748607949507395635,3748608443557871927,3748609588979826822,3748611177886253320,3748611502871412872,3748636930728001546,3748637604156539193,3748640768956039206,3748641442841231742,3748652713659072576,3748608907406475297]",v2
4460094135839490058,2024-08-04,"[4460094135839490058,4460094066221645834,4460094311771930634,4460095247870328881]",v2
1514663301429330089,2024-03-26,"[1514663301429330089,1514667235120775556]",v2
1726383309610811893,2024-04-05,"[1726383309610811893,1726387923480740169]",v2
5470404925884465372,2024-09-17,"[5470404925884465372,5470410604393005241,5470410808007327929,5470411138757034204,5470411806831804636,5470411811831152947,5470412876368052531,5470413832541700403,5470415046607634652,5470420959500959929,5470421320224473273,5470421571936715005,5470422129697095865,5470422254530068700,5470422672344613084,5470422908024389939,5470423311592718643,5470424460691767549,5470424781885538489,5470440763393310905,5470441557594996956,5470441886337728765,5470443869183410361,5470444150457630905,5470444734485889331,5470445799916437724,5470446173959487741,5470446301198680371,5470446924022939868,5470447110599737564,5470447375730868477,5470447480532107517,5470447593747120381,5470447662915387577,5470447704175018204,5470447916810764473,5470448010342432988,5470448306829131961,5470450005456191741,5470450006265692380,5470450401366507740,5470408858831683804]",v2
4083196082146246963,2024-07-18,[4083196082146246963],v2
4240546819424125143,2024-07-25,"[4240546819424125143,4240550704425467969]",v2
4856909088229425293,2024-08-21,"[4856909088229425293,4856913201641292025]",v2
4854323025823662394,2024-08-21,"[4854323025823662394,4854326966385377594]",v2
3350467243341250583,2024-06-16,"[3350467243341250583,3350490363906228421,3350491679163416828,3350473047214915651]",v2
4218304624427270332,2024-07-24,"[4218304624427270332,4218308575250874556]",v2
4229455969269842126,2024-07-24,"[4229455969269842126,4229459487410880577,4229459874749612111,4229501678652489759,4229502599726891214,4229502678867640385,4229503766696296513,4229503767612751951,4229512838356402207,4229513816514232385,4229513817113493583,4229521316840472641,4229522125914112206,4229522687836815566,4229523407001092302,4229530212286332959,4229530676155646158,4229530752563806287,4229531215206023247,4229531290490372161,4229531599650947278,4229531677683613775,4229532671685165262,4229532671738380367,4229541200906420430,4229541798614138945,4229541848550998047,4229541891262644303,4229541931453513759,4229541974072361025,4229541999678849089,4229542223190687775,4229542263303176398,4229542294959161375,4229542326620127311,4229542391535108127,4229542433783808079,4229542470938525761,4229542673539924033,4229542711313301569,4229542745698992193,4229542782317625409,4229542818894315585,4229542900737507534,4229542985546858575,4229543026389680334,4229543067347058894,4229543142746751041,4229543180124291103,4229543217893998798,4229543256606638159,4229543292374089759,4229605824068583503,4229724797762011215,4229507379210223647]",v2
